id,location_id,service_id,organization_id,number,extension,type,description
0ef1675a-5627-4cb4-8d64-c08939d48e16,185e68b1-a77c-4c6f-9a70-e80ae6210ebd,service_4012,a7d72778-283b-32aa-c60d-c7f49091c786,+14153212612,,phone,
d47f3e35-8084-40d4-958d-709aaa3476e8,4958b9c8-dafb-4036-b609-9e663d05c07f,service_208,a7d72778-283b-32aa-c60d-c7f49091c786,+14153212612,,phone,
590e88e2-d0af-4d9e-8442-deb5331cc924,c40342a0-29c0-47b4-9e0e-6e62f186160a,service_788,31227b11-3237-281f-fc85-7ca728420c10,+14158647833,,phone,
870ad64c-17c6-432b-a3a3-69bf325d7cfb,c40342a0-29c0-47b4-9e0e-6e62f186160a,service_788,31227b11-3237-281f-fc85-7ca728420c10,+14158642231,,fax,
85fac658-a6fb-4397-b907-4fe053f729d5,c40342a0-29c0-47b4-9e0e-6e62f186160a,service_788,31227b11-3237-281f-fc85-7ca728420c10,+14156266706,,tty,
5bc01328-4bef-4e9e-bb7c-9b836783f448,0c65d907-d61f-41e1-b2bc-10189c706cf0,service_616,1e8b0653-cb30-3202-96a2-621dd1885323,+14157517110,,office,
2b7d2113-db5c-46e9-b35b-093518af8a99,0c65d907-d61f-41e1-b2bc-10189c706cf0,service_616,1e8b0653-cb30-3202-96a2-621dd1885323,+18777510880,,"24-hour crisis line, toll free",
03bf7f0a-d6b2-4798-89b4-0132a3b598ea,0c65d907-d61f-41e1-b2bc-10189c706cf0,service_616,1e8b0653-cb30-3202-96a2-621dd1885323,+14157510806,,fax,
fbeaed2e-95d7-401b-8edd-98f001e8b8c1,e6974b15-ba45-4aff-9925-fea13a1e6171,service_5486,aa0ce564-4caa-3c27-3d4b-e74616e1e658,+16286527700,,phone,
7989041d-e86b-46a0-a940-5ed83891375e,e6974b15-ba45-4aff-9925-fea13a1e6171,service_5486,aa0ce564-4caa-3c27-3d4b-e74616e1e658,+16286528000,,sf homeless outreach team,
a5a7a913-783e-4bab-a6d5-a3770f585b17,cf534cb4-c889-4354-88ed-6d9d1e0e680e,service_5485,aa0ce564-4caa-3c27-3d4b-e74616e1e658,+16286527700,,phone,
9a245999-74e9-499a-b1c4-abfe674e6dfe,cf534cb4-c889-4354-88ed-6d9d1e0e680e,service_5485,aa0ce564-4caa-3c27-3d4b-e74616e1e658,+16286528000,,sf homeless outreach team,
