id,name,alternate_name,description,email,url,tax_status,year_incorporated,legal_status
a7d72778-283b-32aa-c60d-c7f49091c786,Hamilton Families,,,contact-us@hamiltonfamilies.org,https://hamiltonfamilies.org/transitional-housing,,,
31227b11-3237-281f-fc85-7ca728420c10,Conard House,,,admin@conard.org,https://conardhouse.org/programs,,,
1e8b0653-cb30-3202-96a2-621dd1885323,Asian Women's Shelter,,,info@sfaws.org,https://www.sfaws.org/resources,,,
aa0ce564-4caa-3c27-3d4b-e74616e1e658,Department of Homelessness and Supportive Housing,,,,https://www.sf.gov/information--temporary-shelter-families-and-pregnant-people,,,
ea5fba68-1125-fa0f-fe64-2d00afe89037,Compass Family Services,,,,https://www.compass-sf.org/our-programs,,,
8d654c5a-3e9e-cb74-5ac2-00c06ee26f45,La Casa de las Madres,,,info@lacasa.org,https://www.lacasa.org/crisis,,,
8848bc30-8045-abb3-3465-2d2278492d1a,Mission Action (formerly Dolores Street Community Services),,,info@missionaction.org,https://www.missionaction.org/our-work/housing-shelter/#stay-over,,,
537ad64c-6a0b-0900-dac3-1c55f2a7e204,San Francisco Human Services Agency,,,CalWORKs@sfgov.org,https://www.sfhsa.org/services/jobs-money/calworks,,,
cf8f760f-a37c-c97b-8b46-235d9d212bf6,St. Vincent de Paul Society,,,info@svdp-sf.org,https://svdp-sf.org/rosalie-house/,,,
07491670-7d7b-0d3b-d8ab-b71a7b7777bb,Central American Resource Center - CARECEN,,,info@carecensf.org,https://carecensf.org/programs/family-wellness/,,,
1af75742-57b8-5771-69cf-b7dc1502dea1,Rafiki Coalition,,,info@rafikicoalition.org,https://rafikicoalition.org/programs-and-services/umoja-hap/,,,
7c07a176-96b4-570e-eb58-726c0a557e63,Providence Foundation of San Francisco,,,,https://hsh.sfgov.org/services/how-to-get-services/accessing-temporary-shelter/family-temporary-shelter/,,,
0a440b9d-cc17-9017-556c-e69d4c624ca5,Bayview Hunters Point Foundation,,,info@bayviewci.org,https://www.bayviewci.org/residential-and-homeless-services,,,
2385c306-3ec1-6278-21e2-9ce38c4ca4f3,Missionaries of Charity,,,,,,,
d41d8cd9-8f00-b204-e980-0998ecf8427e,,,,,,,,
